Record generated at : Wed Nov 11 00:35:57 IST 2020 Temperature : 49.61, Humidity : 21.624, Device Id: 3
Record generated at : Wed Nov 11 00:36:47 IST 2020 Temperature : 56.961, Humidity : 39.457, Device Id: 1
Record generated at : Wed Nov 11 00:36:47 IST 2020 Temperature : 57.683, Humidity : 10.32, Device Id: 4
Record generated at : Tue Nov 17 18:05:20 IST 2020 Temperature : 36.771, Humidity : 35.817, Device Id: 1
Record generated at : Tue Nov 17 18:05:20 IST 2020 Temperature : 36.668, Humidity : 37.901, Device Id: 3
Record generated at : Tue Nov 17 18:05:20 IST 2020 Temperature : 57.98, Humidity : 33.547, Device Id: 4
Record generated at : Tue Nov 17 18:05:20 IST 2020 Temperature : 57.32, Humidity : 39.438, Device Id: 2
Record generated at : Tue Nov 17 18:05:25 IST 2020 Temperature : 47.802, Humidity : 24.242, Device Id: 4
Record generated at : Tue Nov 17 18:05:25 IST 2020 Temperature : 45.097, Humidity : 24.167, Device Id: 1
Record generated at : Tue Nov 17 18:05:25 IST 2020 Temperature : 40.026, Humidity : 30.07, Device Id: 3
Record generated at : Tue Nov 17 18:05:25 IST 2020 Temperature : 19.991, Humidity : 21.174, Device Id: 2
Record generated at : Tue Nov 17 18:05:30 IST 2020 Temperature : 51.229, Humidity : 30.845, Device Id: 1
Record generated at : Tue Nov 17 18:05:30 IST 2020 Temperature : 31.387, Humidity : 16.431, Device Id: 4
Record generated at : Tue Nov 17 18:05:30 IST 2020 Temperature : 24.633, Humidity : 31.413, Device Id: 3
Record generated at : Tue Nov 17 18:05:30 IST 2020 Temperature : 32.793, Humidity : 27.525, Device Id: 2
Record generated at : Tue Nov 17 18:05:35 IST 2020 Temperature : 24.489, Humidity : 20.765, Device Id: 4
Record generated at : Tue Nov 17 18:05:35 IST 2020 Temperature : 39.156, Humidity : 24.743, Device Id: 1
Record generated at : Tue Nov 17 18:05:35 IST 2020 Temperature : 23.887, Humidity : 15.605, Device Id: 3
Record generated at : Tue Nov 17 18:05:35 IST 2020 Temperature : 52.628, Humidity : 35.831, Device Id: 2
Record generated at : Tue Nov 17 18:05:40 IST 2020 Temperature : 34.741, Humidity : 39.443, Device Id: 4
Record generated at : Tue Nov 17 18:05:40 IST 2020 Temperature : 21.444, Humidity : 12.621, Device Id: 1
Record generated at : Tue Nov 17 18:05:40 IST 2020 Temperature : 52.662, Humidity : 22.124, Device Id: 3
Record generated at : Tue Nov 17 18:05:40 IST 2020 Temperature : 49.158, Humidity : 25.535, Device Id: 2
Record generated at : Tue Nov 17 18:05:45 IST 2020 Temperature : 36.761, Humidity : 18.785, Device Id: 4
Record generated at : Tue Nov 17 18:05:45 IST 2020 Temperature : 42.309, Humidity : 36.804, Device Id: 1
Record generated at : Tue Nov 17 18:05:45 IST 2020 Temperature : 15.021, Humidity : 31.37, Device Id: 3
Record generated at : Tue Nov 17 18:05:45 IST 2020 Temperature : 19.698, Humidity : 25.497, Device Id: 2
Record generated at : Tue Nov 17 18:05:50 IST 2020 Temperature : 58.374, Humidity : 27.818, Device Id: 4
Record generated at : Tue Nov 17 18:05:50 IST 2020 Temperature : 34.999, Humidity : 22.303, Device Id: 3
Record generated at : Tue Nov 17 18:05:50 IST 2020 Temperature : 16.619, Humidity : 37.458, Device Id: 2
Record generated at : Tue Nov 17 18:05:50 IST 2020 Temperature : 34.944, Humidity : 35.606, Device Id: 1
Record generated at : Tue Nov 17 18:05:55 IST 2020 Temperature : 21.168, Humidity : 35.299, Device Id: 4
Record generated at : Tue Nov 17 18:05:55 IST 2020 Temperature : 36.36, Humidity : 36.035, Device Id: 3
Record generated at : Tue Nov 17 18:05:55 IST 2020 Temperature : 25.894, Humidity : 23.524, Device Id: 1
Record generated at : Tue Nov 17 18:05:55 IST 2020 Temperature : 15.22, Humidity : 13.977, Device Id: 2
Record generated at : Tue Nov 17 18:06:00 IST 2020 Temperature : 30.348, Humidity : 37.747, Device Id: 4
Record generated at : Tue Nov 17 18:06:00 IST 2020 Temperature : 58.637, Humidity : 39.16, Device Id: 3
Record generated at : Tue Nov 17 18:06:00 IST 2020 Temperature : 57.726, Humidity : 11.049, Device Id: 2
Record generated at : Tue Nov 17 18:06:00 IST 2020 Temperature : 49.718, Humidity : 31.415, Device Id: 1
Record generated at : Tue Nov 17 18:06:05 IST 2020 Temperature : 31.661, Humidity : 30.118, Device Id: 1
Record generated at : Tue Nov 17 18:06:05 IST 2020 Temperature : 27.746, Humidity : 14.399, Device Id: 4
Record generated at : Tue Nov 17 18:06:05 IST 2020 Temperature : 59.533, Humidity : 38.673, Device Id: 2
Record generated at : Tue Nov 17 18:06:05 IST 2020 Temperature : 20.564, Humidity : 12.88, Device Id: 3
Record generated at : Tue Nov 17 18:09:04 IST 2020 Temperature : 49.338, Humidity : 28.449, Device Id: 3
Record generated at : Tue Nov 17 18:09:04 IST 2020 Temperature : 46.289, Humidity : 37.085, Device Id: 1
Record generated at : Tue Nov 17 18:09:04 IST 2020 Temperature : 49.207, Humidity : 30.904, Device Id: 2
Record generated at : Tue Nov 17 18:09:04 IST 2020 Temperature : 56.911, Humidity : 16.778, Device Id: 4
Record generated at : Tue Nov 17 18:09:09 IST 2020 Temperature : 48.715, Humidity : 36.619, Device Id: 3
Record generated at : Tue Nov 17 18:09:09 IST 2020 Temperature : 51.364, Humidity : 17.489, Device Id: 1
Record generated at : Tue Nov 17 18:09:09 IST 2020 Temperature : 27.771, Humidity : 39.065, Device Id: 4
Record generated at : Tue Nov 17 18:09:09 IST 2020 Temperature : 37.043, Humidity : 16.039, Device Id: 2
Record generated at : Tue Nov 17 18:09:14 IST 2020 Temperature : 23.156, Humidity : 22.302, Device Id: 3
Record generated at : Tue Nov 17 18:09:14 IST 2020 Temperature : 17.693, Humidity : 32.094, Device Id: 1
Record generated at : Tue Nov 17 18:09:14 IST 2020 Temperature : 27.251, Humidity : 22.923, Device Id: 4
Record generated at : Tue Nov 17 18:09:14 IST 2020 Temperature : 49.255, Humidity : 25.562, Device Id: 2
Record generated at : Tue Nov 17 18:09:19 IST 2020 Temperature : 17.852, Humidity : 31.811, Device Id: 3
Record generated at : Tue Nov 17 18:09:19 IST 2020 Temperature : 55.914, Humidity : 11.242, Device Id: 1
Record generated at : Tue Nov 17 18:09:19 IST 2020 Temperature : 36.842, Humidity : 31.015, Device Id: 4
Record generated at : Tue Nov 17 18:09:19 IST 2020 Temperature : 38.874, Humidity : 36.906, Device Id: 2
Record generated at : Tue Nov 17 18:14:08 IST 2020 Temperature : 56.471, Humidity : 28.953, Device Id: 1
Record generated at : Tue Nov 17 18:14:08 IST 2020 Temperature : 35.423, Humidity : 13.578, Device Id: 3
Record generated at : Tue Nov 17 18:14:08 IST 2020 Temperature : 49.977, Humidity : 21.745, Device Id: 2
Record generated at : Tue Nov 17 18:14:08 IST 2020 Temperature : 20.928, Humidity : 12.393, Device Id: 4
Record generated at : Tue Nov 17 18:14:13 IST 2020 Temperature : 51.584, Humidity : 32.981, Device Id: 1
Record generated at : Tue Nov 17 18:14:13 IST 2020 Temperature : 25.473, Humidity : 36.609, Device Id: 4
Record generated at : Tue Nov 17 18:14:13 IST 2020 Temperature : 21.628, Humidity : 17.957, Device Id: 3
Record generated at : Tue Nov 17 18:14:13 IST 2020 Temperature : 33.393, Humidity : 39.711, Device Id: 2
Record generated at : Tue Nov 17 18:14:18 IST 2020 Temperature : 36.108, Humidity : 33.473, Device Id: 1
Record generated at : Tue Nov 17 18:14:18 IST 2020 Temperature : 29.819, Humidity : 25.016, Device Id: 3
Record generated at : Tue Nov 17 18:14:18 IST 2020 Temperature : 55.9, Humidity : 14.781, Device Id: 4
Record generated at : Tue Nov 17 18:14:18 IST 2020 Temperature : 15.637, Humidity : 19.02, Device Id: 2
Record generated at : Tue Nov 17 18:14:23 IST 2020 Temperature : 15.866, Humidity : 24.468, Device Id: 1
Record generated at : Tue Nov 17 18:14:23 IST 2020 Temperature : 28.514, Humidity : 23.913, Device Id: 3
Record generated at : Tue Nov 17 18:14:23 IST 2020 Temperature : 16.788, Humidity : 22.208, Device Id: 4
Record generated at : Tue Nov 17 18:14:23 IST 2020 Temperature : 19.892, Humidity : 30.711, Device Id: 2
Record generated at : Tue Nov 17 18:14:28 IST 2020 Temperature : 16.337, Humidity : 35.339, Device Id: 1
Record generated at : Tue Nov 17 18:14:28 IST 2020 Temperature : 17.399, Humidity : 27.179, Device Id: 3
Record generated at : Tue Nov 17 18:14:28 IST 2020 Temperature : 47.12, Humidity : 15.821, Device Id: 4
Record generated at : Tue Nov 17 18:14:28 IST 2020 Temperature : 48.335, Humidity : 20.874, Device Id: 2
Record generated at : Tue Nov 17 18:14:33 IST 2020 Temperature : 42.019, Humidity : 28.718, Device Id: 1
Record generated at : Tue Nov 17 18:14:33 IST 2020 Temperature : 32.691, Humidity : 14.356, Device Id: 3
Record generated at : Tue Nov 17 18:14:33 IST 2020 Temperature : 31.705, Humidity : 35.623, Device Id: 4
Record generated at : Tue Nov 17 18:14:33 IST 2020 Temperature : 46.609, Humidity : 20.485, Device Id: 2
Record generated at : Tue Nov 17 18:14:38 IST 2020 Temperature : 48.344, Humidity : 39.254, Device Id: 3
Record generated at : Tue Nov 17 18:14:38 IST 2020 Temperature : 42.484, Humidity : 25.308, Device Id: 1
Record generated at : Tue Nov 17 18:14:38 IST 2020 Temperature : 49.584, Humidity : 10.922, Device Id: 4
Record generated at : Tue Nov 17 18:14:38 IST 2020 Temperature : 39.948, Humidity : 12.536, Device Id: 2
Record generated at : Tue Nov 17 18:14:43 IST 2020 Temperature : 27.81, Humidity : 32.484, Device Id: 3
Record generated at : Tue Nov 17 18:14:43 IST 2020 Temperature : 59.042, Humidity : 13.494, Device Id: 1
Record generated at : Tue Nov 17 18:14:43 IST 2020 Temperature : 33.72, Humidity : 38.554, Device Id: 4
Record generated at : Tue Nov 17 18:14:43 IST 2020 Temperature : 48.477, Humidity : 37.539, Device Id: 2
Record generated at : Tue Nov 17 18:14:48 IST 2020 Temperature : 21.068, Humidity : 26.849, Device Id: 1
Record generated at : Tue Nov 17 18:14:48 IST 2020 Temperature : 24.588, Humidity : 34.088, Device Id: 3
Record generated at : Tue Nov 17 18:14:48 IST 2020 Temperature : 54.255, Humidity : 34.396, Device Id: 4
Record generated at : Tue Nov 17 18:14:48 IST 2020 Temperature : 19.754, Humidity : 10.466, Device Id: 2
Record generated at : Tue Nov 17 18:14:53 IST 2020 Temperature : 20.077, Humidity : 27.878, Device Id: 1
Record generated at : Tue Nov 17 18:14:53 IST 2020 Temperature : 34.806, Humidity : 37.821, Device Id: 3
Record generated at : Tue Nov 17 18:14:53 IST 2020 Temperature : 59.212, Humidity : 22.816, Device Id: 4
Record generated at : Tue Nov 17 18:14:53 IST 2020 Temperature : 54.387, Humidity : 26.456, Device Id: 2
Record generated at : Tue Nov 17 18:14:58 IST 2020 Temperature : 28.617, Humidity : 20.381, Device Id: 1
Record generated at : Tue Nov 17 18:14:58 IST 2020 Temperature : 47.464, Humidity : 29.025, Device Id: 4
Record generated at : Tue Nov 17 18:14:58 IST 2020 Temperature : 48.847, Humidity : 26.018, Device Id: 3
Record generated at : Tue Nov 17 18:14:58 IST 2020 Temperature : 40.113, Humidity : 20.167, Device Id: 2
Record generated at : Tue Nov 17 18:15:03 IST 2020 Temperature : 44.839, Humidity : 28.38, Device Id: 1
Record generated at : Tue Nov 17 18:15:03 IST 2020 Temperature : 17.064, Humidity : 29.208, Device Id: 4
Record generated at : Tue Nov 17 18:15:03 IST 2020 Temperature : 51.722, Humidity : 32.437, Device Id: 3
Record generated at : Tue Nov 17 18:15:03 IST 2020 Temperature : 45.979, Humidity : 23.883, Device Id: 2
Record generated at : Tue Nov 17 18:15:08 IST 2020 Temperature : 55.771, Humidity : 21.108, Device Id: 1
Record generated at : Tue Nov 17 18:15:08 IST 2020 Temperature : 44.472, Humidity : 15.091, Device Id: 4
Record generated at : Tue Nov 17 18:15:08 IST 2020 Temperature : 51.228, Humidity : 33.785, Device Id: 3
Record generated at : Tue Nov 17 18:15:08 IST 2020 Temperature : 51.276, Humidity : 29.187, Device Id: 2
Record generated at : Tue Nov 17 18:15:13 IST 2020 Temperature : 17.073, Humidity : 16.625, Device Id: 1
Record generated at : Tue Nov 17 18:15:13 IST 2020 Temperature : 28.965, Humidity : 14.276, Device Id: 4
Record generated at : Tue Nov 17 18:15:13 IST 2020 Temperature : 50.016, Humidity : 35.072, Device Id: 3
Record generated at : Tue Nov 17 18:15:13 IST 2020 Temperature : 19.268, Humidity : 32.212, Device Id: 2
Record generated at : Tue Nov 17 18:15:18 IST 2020 Temperature : 46.062, Humidity : 17.263, Device Id: 1
Record generated at : Tue Nov 17 18:15:18 IST 2020 Temperature : 32.08, Humidity : 23.383, Device Id: 4
Record generated at : Tue Nov 17 18:15:18 IST 2020 Temperature : 26.458, Humidity : 14.301, Device Id: 3
Record generated at : Tue Nov 17 18:15:18 IST 2020 Temperature : 51.242, Humidity : 19.562, Device Id: 2
Record generated at : Tue Nov 17 18:15:23 IST 2020 Temperature : 40.365, Humidity : 33.657, Device Id: 1
Record generated at : Tue Nov 17 18:15:23 IST 2020 Temperature : 54.078, Humidity : 25.203, Device Id: 4
Record generated at : Tue Nov 17 18:15:23 IST 2020 Temperature : 36.594, Humidity : 19.878, Device Id: 3
Record generated at : Tue Nov 17 18:15:23 IST 2020 Temperature : 32.305, Humidity : 20.475, Device Id: 2
